3.6437 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
3.6442 	INFO 	Loaded monitor calibration from ['2024_11_07 19:31']
4.8614 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002066D00E110>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002066D00E0B0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002066CFD4520>, multiSample=False, name='window1', numSamples=2, pos=[240.0, 60.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8615 	EXP 	window1: backgroundImage = ''
4.8615 	EXP 	window1: backgroundFit = 'none'
4.8821 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8825 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8832 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8840 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8847 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8856 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8864 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8868 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8870 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8873 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8880 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8889 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8893 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8900 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8905 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8913 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8919 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8924 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8930 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8936 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8944 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8952 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8958 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
